Name,Platform,Genre,Critic_Score,User_Score,Rating
Wii Sports,Wii,Sports,76.0,8,E
Mario Kart Wii,Wii,Racing,82.0,8.3,E
Wii Sports Resort,Wii,Sports,80.0,8,E
New Super Mario Bros.,DS,Platform,89.0,8.5,E
Wii Play,Wii,Misc,58.0,6.6,E
New Super Mario Bros. Wii,Wii,Platform,87.0,8.4,E
Mario Kart DS,DS,Racing,91.0,8.6,E
Wii Fit,Wii,Sports,80.0,7.7,E
Kinect Adventures!,X360,Misc,61.0,6.3,E
Wii Fit Plus,Wii,Sports,80.0,7.4,E
Grand Theft Auto V,PS3,Action,97.0,8.2,M
Grand Theft Auto: San Andreas,PS2,Action,95.0,9,M
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,77.0,7.9,E
Grand Theft Auto V,X360,Action,97.0,8.1,M
Grand Theft Auto: Vice City,PS2,Action,95.0,8.7,M
Brain Age 2: More Training in Minutes a Day,DS,Puzzle,77.0,7.1,E
Gran Turismo 3: A-Spec,PS2,Racing,95.0,8.4,E
Call of Duty: Modern Warfare 3,X360,Shooter,88.0,3.4,M
Call of Duty: Black Ops,X360,Shooter,87.0,6.3,M
Call of Duty: Black Ops II,PS3,Shooter,83.0,5.3,M
Call of Duty: Black Ops II,X360,Shooter,83.0,4.8,M
Call of Duty: Modern Warfare 2,X360,Shooter,94.0,6.3,M
Call of Duty: Modern Warfare 3,PS3,Shooter,88.0,3.2,M
Grand Theft Auto III,PS2,Action,97.0,8.5,M
Super Smash Bros. Brawl,Wii,Fighting,93.0,8.9,T
Mario Kart 7,3DS,Racing,85.0,8.2,E
Call of Duty: Black Ops,PS3,Shooter,88.0,6.4,M
Grand Theft Auto V,PS4,Action,97.0,8.3,M
Animal Crossing: Wild World,DS,Simulation,86.0,8.7,E
Halo 3,X360,Shooter,94.0,7.8,M
Gran Turismo 4,PS2,Racing,89.0,8.5,E
Super Mario Galaxy,Wii,Platform,97.0,8.9,E
Grand Theft Auto IV,X360,Action,98.0,7.9,M
Gran Turismo,PS,Racing,96.0,8.7,E
Super Mario 3D Land,3DS,Platform,90.0,8.4,E
Gran Turismo 5,PS3,Racing,84.0,7.5,E
Call of Duty: Modern Warfare 2,PS3,Shooter,94.0,6.3,M
Grand Theft Auto IV,PS3,Action,98.0,7.5,M
Call of Duty: Ghosts,X360,Shooter,73.0,2.6,M
Just Dance 3,Wii,Misc,74.0,7.8,E10+
New Super Mario Bros. 2,3DS,Platform,78.0,7.2,E
Halo: Reach,X360,Shooter,91.0,7.9,M
Final Fantasy VII,PS,Role-Playing,92.0,9.2,T
Halo 4,X360,Shooter,87.0,7,M
Gran Turismo 2,PS,Racing,93.0,9,T
Just Dance 2,Wii,Misc,74.0,7.3,E10+
Call of Duty: Ghosts,PS3,Shooter,71.0,2.6,M
Call of Duty 4: Modern Warfare,X360,Shooter,94.0,8.4,M
Animal Crossing: New Leaf,3DS,Simulation,88.0,8.7,E
Mario Party DS,DS,Misc,72.0,7.8,E
The Elder Scrolls V: Skyrim,X360,Role-Playing,96.0,8.4,M
FIFA 16,PS4,Sports,82.0,4.3,E
Halo 2,XB,Shooter,95.0,8.2,M
Wii Party,Wii,Misc,68.0,7.4,E
Mario Party 8,Wii,Misc,62.0,6.3,E
FIFA Soccer 13,PS3,Action,88.0,6.6,E
Final Fantasy X,PS2,Role-Playing,92.0,8.7,T
The Sims 3,PC,Simulation,86.0,7.6,T
Final Fantasy VIII,PS,Role-Playing,90.0,8.6,T
Pokémon Platinum Version,DS,Role-Playing,83.0,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,Action,88.0,7.6,M
Call of Duty: Advanced Warfare,PS4,Shooter,83.0,5.7,M
FIFA 17,PS4,Sports,85.0,5,E
Super Mario Galaxy 2,Wii,Platform,97.0,9.1,E
